time,currency,impact,event,window_start,window_end,source,country
2020-05-08T12:00:00,USD,high,President Trump Speaks,2020-05-08T11:57:00,2020-05-08T12:03:00,forexfactory,US
2020-05-08T12:30:00,USD,high,Average Hourly Earnings m/m,2020-05-08T12:27:00,2020-05-08T12:33:00,forexfactory,US
2020-05-08T12:30:00,USD,high,Non-Farm Employment Change,2020-05-08T12:27:00,2020-05-08T12:33:00,forexfactory,US
2020-05-08T12:30:00,USD,high,Unemployment Rate,2020-05-08T12:27:00,2020-05-08T12:33:00,forexfactory,US
2020-05-12T12:30:00,USD,high,CPI y/y,2020-05-12T12:27:00,2020-05-12T12:33:00,forexfactory,US
2020-05-12T12:30:00,USD,high,Core CPI m/m,2020-05-12T12:27:00,2020-05-12T12:33:00,forexfactory,US
2020-05-12T12:30:00,USD,high,CPI m/m,2020-05-12T12:27:00,2020-05-12T12:33:00,forexfactory,US
2020-05-13T13:00:00,USD,high,Fed Chairman Powell Speaks,2020-05-13T12:57:00,2020-05-13T13:03:00,forexfactory,US
2020-05-15T08:00:00,EUR,high,German Prelim GDP q/q,2020-05-15T07:57:00,2020-05-15T08:03:00,forexfactory,GE
2020-05-15T12:30:00,USD,high,Core Retail Sales m/m,2020-05-15T12:27:00,2020-05-15T12:33:00,forexfactory,US
2020-05-15T12:30:00,USD,high,Retail Sales m/m,2020-05-15T12:27:00,2020-05-15T12:33:00,forexfactory,US
2020-05-17T23:00:00,USD,high,Fed Chairman Powell Speaks,2020-05-17T22:57:00,2020-05-17T23:03:00,forexfactory,US
2020-05-19T14:00:00,USD,high,Fed Chairman Powell Testifies,2020-05-19T13:57:00,2020-05-19T14:03:00,forexfactory,US
2020-05-21T07:15:00,EUR,high,French Flash Services PMI,2020-05-21T07:12:00,2020-05-21T07:18:00,forexfactory,FR
2020-05-21T07:30:00,EUR,high,German Flash Services PMI,2020-05-21T07:27:00,2020-05-21T07:33:00,forexfactory,GE
2020-05-21T07:30:00,EUR,high,German Flash Manufacturing PMI,2020-05-21T07:27:00,2020-05-21T07:33:00,forexfactory,GE
2020-05-21T13:45:00,USD,high,Flash Manufacturing PMI,2020-05-21T13:42:00,2020-05-21T13:48:00,forexfactory,US
2020-05-21T18:30:00,USD,high,Fed Chairman Powell Speaks,2020-05-21T18:27:00,2020-05-21T18:33:00,forexfactory,US
2020-05-22T11:30:00,EUR,high,ECB Monetary Policy Meeting Accounts,2020-05-22T11:27:00,2020-05-22T11:33:00,forexfactory,EZ
2020-05-28T12:30:00,USD,high,Prelim GDP q/q,2020-05-28T12:27:00,2020-05-28T12:33:00,forexfactory,US
2020-05-29T15:00:00,USD,high,Fed Chairman Powell Speaks,2020-05-29T14:57:00,2020-05-29T15:03:00,forexfactory,US
2020-05-29T18:00:00,USD,high,President Trump Speaks,2020-05-29T17:57:00,2020-05-29T18:03:00,forexfactory,US
2020-06-01T14:00:00,USD,high,ISM Manufacturing PMI,2020-06-01T13:57:00,2020-06-01T14:03:00,forexfactory,US
2020-06-03T12:15:00,USD,high,ADP Non-Farm Employment Change,2020-06-03T12:12:00,2020-06-03T12:18:00,forexfactory,US
2020-06-03T14:00:00,USD,high,ISM Services PMI,2020-06-03T13:57:00,2020-06-03T14:03:00,forexfactory,US
2020-06-04T11:45:00,EUR,high,Main Refinancing Rate,2020-06-04T11:42:00,2020-06-04T11:48:00,forexfactory,EZ
